Date,GDP (Billions of US $),Per Capita (US $),Annual % Change
1960-12-31,1392.2765890848,459.26,0 
1961-12-31,1448.6253545431,471.4794,3.79
1962-12-31,1550.548209897,495.8684,5.316
1963-12-31,1671.6143616473,523.4413,5.1854
1964-12-31,1830.2920493791,561.3501,6.5583
1965-12-31,1993.9052118376,599.0789,5.5491
1966-12-31,2163.8992403221,636.7104,5.7126
1967-12-31,2302.5349621963,663.8499,4.1526
1968-12-31,2485.2190426306,701.9887,5.9423
1969-12-31,2741.1788631039,758.3486,5.8149
1970-12-31,2997.2279445464,812.1893,3.9686
1971-12-31,3310.780486001,878.6518,4.2763
1972-12-31,3817.146965618,993.093,5.6161
1973-12-31,4656.9779871696,1187.9744,6.4074
1974-12-31,5367.5886236221,1343.2498,1.7954
1975-12-31,5978.9212824619,1468.9811,0.6339
1976-12-31,6499.3818300894,1568.6885,5.3032
1977-12-31,7350.8028314856,1743.5735,4.0995
1978-12-31,8656.5563659079,2017.8854,4.1371
1979-12-31,10054.236826339,2302.9273,4.1758
1980-12-31,11336.619344645,2551.89,1.8772
1981-12-31,11727.633651775,2594.0403,1.9321
1982-12-31,11609.79972296,2522.354,0.3937
1983-12-31,11840.095167192,2527.2662,2.6491
1984-12-31,12271.630373271,2574.4408,4.6745
1985-12-31,12862.162484628,2651.9043,3.6986
1986-12-31,15207.773512384,3080.9306,3.4429
1987-12-31,17310.256172044,3445.248,3.7322
1988-12-31,19341.239105301,3782.3933,4.6383
1989-12-31,20197.467559579,3882.1136,3.7542
1990-12-31,22783.812617848,4304.0973,2.8659
1991-12-31,23763.555781581,4414.8382,1.4598
1992-12-31,25410.345863684,4645.1663,2.0698
1993-12-31,25826.261580887,4647.7508,1.8082
1994-12-31,27876.83677067,4940.8367,3.3054
1995-12-31,31048.480920695,5421.6091,3.0921
1996-12-31,31741.860210013,5461.7874,3.5932
1997-12-31,31627.824891077,5364.2144,3.8777
1998-12-31,31546.558511139,5275.5821,2.8192
1999-12-31,32745.484688725,5401.5115,3.5528
2000-12-31,33839.629115496,5507.4629,4.515
2001-12-31,33623.959264594,5400.2772,2.0092
2002-12-31,34917.961156966,5535.4229,2.3048
2003-12-31,39152.319062519,6127.7148,3.1096
2004-12-31,44123.983335731,6818.9157,4.4712
2005-12-31,47784.439290852,7292.4712,4.0046
2006-12-31,51780.233749937,7804.1803,4.4204
2007-12-31,58349.496193546,8686.009,4.3819
2008-12-31,64120.766496411,9427.5719,2.0692
2009-12-31,60804.066950819,8830.7527,-1.3414
2010-12-31,66605.767965979,9556.569,4.5408
2011-12-31,73857.648457527,10471.0143,3.3103
2012-12-31,75501.151302966,10573.0645,2.7092
2013-12-31,77607.185263724,10735.2613,2.8079
2014-12-31,79733.153025707,10896.2156,3.0901
2015-12-31,75187.841840597,10153.7808,3.0786
2016-12-31,76461.546747209,10205.8488,2.802
2017-12-31,81400.670239259,10741.4855,3.385
2018-12-31,86456.888252044,11284.1833,3.2855
2019-12-31,87645.255635476,11319.7541,2.5913
2020-12-31,85105.603606117,10881.7037,-3.1154
2021-12-31,96513.077364368,12234.7968,5.8698
